Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Avenue Growth,Consumer Internet,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.00
iNICU,Healthcare,Delhi,Venture Catalysts,Seed/ Angel Funding,0.00
Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,5000000.00
Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.00
Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.00
19th mile,IT,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000.00
5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,500000.00
MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,175000.00
Ofbusiness,Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.00
Cars24,Consumer Internet,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.00
The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1500000.00
Book My Show,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.00
HousingMan,Consumer Internet,Bengaluru,PayU & Others,Seed/ Angel Funding,1500000.00
PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,18000000.00
Yulu Bikes,Technology,Bengaluru,PayU & Others,Seed/ Angel Funding,0.00
VTION,Technology,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,280000.00
Log9 Materials,Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,436000.00
kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/ Angel Funding,180000.00
Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000.00
Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.00
Trell,Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,1250000.00
iqlect,Technology,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,2500000.00
Entropik,IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,1100000.00
Bitla Software,Technology,Bengaluru,MakeMyTrip,Private Equity,0.00
TheCapitalNet,Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.00
Shuttl,Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.00
Cure Fit,Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.00
Five Star Group,Fin-Tech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.00
Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,5000000.00
CoinTribe,Finance,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.00
Digiconectt,Technology,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,125000.00
Kashmir Box,E-Commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,0.00
Crowdera,Finance,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,0.00
Zoctr,Healthcare,Mumbai,NB Ventures and Others,Seed/ Angel Funding,0.00
Annapurna Finance,Finance,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.00
Meesho,Consumer Internet,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000.00
AyeFinance,Finance,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000.00
Theranosis,Healthcare,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,0.00
Alpha Capital,Finance,Mumbai,Alpha Capital,Private Equity,14800000.00
